variant,seed,scenario,reception,error_mode,run_id,strategy_hash,parameter_hash,clear_count,jammer_count,clear_ratio,total_time,move_time,move_distance,RF_detection_count,RF_detection_time,channel_switch_time,optical_time,clear_time,optical_failed_count,completion_proved,client_error,measured_program_wall_time_s,average_localization_clear_time_s_per_source,variant_hash,scene_hash
Gplus,14017,clustered,minimum,fixed_hash,20260912T090844537600Z-s14017-G-c9860d82,9ce494b264cc886891dcca475ab649a02a3c1b9ede0a087b25a481904d274603,3344c0c3c0c9b70bc2c9ecb9b0b1665cf3cc67c01f47d150d7a2cee978833f87,10,10,1.0,2258.748707,1576.7487061614088,7883.7435308070435,106,530,102,30,20,0,True,,2.522633600005065,225.87487070000003,4547d041710703caa816fb405ee47d4100a6c72fd1627df221f8eb4a5aba6db4,867509d2b2f227d684d21a2b44dd0ad6d8c5cab5da8410f5a871669aba161419
G,14016,boundary,maximum,minus_one,20260912T090842078645Z-s14016-G-71416c06,9ce494b264cc886891dcca475ab649a02a3c1b9ede0a087b25a481904d274603,66b91d427f3d3cf867c3c0655a9c6a665d491b885a854ee10cfda26d72a0095b,16,16,1.0,3695.5359,2855.5359016981006,14277.679508490502,128,640,114,54,32,2,True,,5.421260400005849,230.97099375,b86e372656266059655318a0d78412a33495e50853782e3e3176ca6f4fc14972,2ab3cba5b3c7f92c0a17fbe45f439cc3e9dc7abd3286131b4c0a336fbfa7218c
Gplus,14015,boundary,maximum,plus_one,20260912T090841894228Z-s14015-G-140d6b0b,9ce494b264cc886891dcca475ab649a02a3c1b9ede0a087b25a481904d274603,3344c0c3c0c9b70bc2c9ecb9b0b1665cf3cc67c01f47d150d7a2cee978833f87,10,10,1.0,3332.190729,2470.1907276125607,12350.953638062803,136,680,126,36,20,2,True,,5.995019299996784,333.2190729,4547d041710703caa816fb405ee47d4100a6c72fd1627df221f8eb4a5aba6db4,cd3f94216467d54fd5662c208f331f8c87e75319120b0bffcd6646d920a239db
G,14018,clustered,minimum,smooth,20260912T090845539093Z-s14018-G-9f617479,9ce494b264cc886891dcca475ab649a02a3c1b9ede0a087b25a481904d274603,66b91d427f3d3cf867c3c0655a9c6a665d491b885a854ee10cfda26d72a0095b,16,16,1.0,2243.507158,1527.5071606422355,7637.535803211177,107,535,101,48,32,0,True,,3.7866340999898966,140.219197375,b86e372656266059655318a0d78412a33495e50853782e3e3176ca6f4fc14972,8bbb5968eeeb5f2759b68ed2031b3ed6290f93c34b5799e20bceef662b67a04c
G,14019,clustered,minimum,plus_one,20260912T090846175971Z-s14019-G-b03f27c4,9ce494b264cc886891dcca475ab649a02a3c1b9ede0a087b25a481904d274603,66b91d427f3d3cf867c3c0655a9c6a665d491b885a854ee10cfda26d72a0095b,10,10,1.0,2402.064719,1589.064720575199,7945.323602875996,127,635,122,36,20,2,True,,3.6218863999965834,240.2064719,b86e372656266059655318a0d78412a33495e50853782e3e3176ca6f4fc14972,15df8cfc81e5b05d6457b01f2d9e09c359ede306f9aaed728c33d035334ccab2
Gplus,14019,clustered,minimum,plus_one,20260912T090846335562Z-s14019-G-118eb295,9ce494b264cc886891dcca475ab649a02a3c1b9ede0a087b25a481904d274603,3344c0c3c0c9b70bc2c9ecb9b0b1665cf3cc67c01f47d150d7a2cee978833f87,10,10,1.0,2398.233108,1567.2331059497112,7836.165529748556,130,650,125,36,20,2,True,,3.912139499996556,239.8233108,4547d041710703caa816fb405ee47d4100a6c72fd1627df221f8eb4a5aba6db4,15df8cfc81e5b05d6457b01f2d9e09c359ede306f9aaed728c33d035334ccab2
Gplus,14018,clustered,minimum,smooth,20260912T090846109085Z-s14018-G-e31eaa90,9ce494b264cc886891dcca475ab649a02a3c1b9ede0a087b25a481904d274603,3344c0c3c0c9b70bc2c9ecb9b0b1665cf3cc67c01f47d150d7a2cee978833f87,16,16,1.0,2194.64998,1477.649980083368,7388.24990041684,107,535,102,48,32,0,True,,4.298994099997799,137.16562375,4547d041710703caa816fb405ee47d4100a6c72fd1627df221f8eb4a5aba6db4,8bbb5968eeeb5f2759b68ed2031b3ed6290f93c34b5799e20bceef662b67a04c
G,14020,clustered,minimum,minus_one,20260912T090847181716Z-s14020-G-1450b391,9ce494b264cc886891dcca475ab649a02a3c1b9ede0a087b25a481904d274603,66b91d427f3d3cf867c3c0655a9c6a665d491b885a854ee10cfda26d72a0095b,16,16,1.0,2270.100063,1562.1000650388432,7810.500325194216,105,525,100,51,32,1,True,,3.734623999989708,141.8812539375,b86e372656266059655318a0d78412a33495e50853782e3e3176ca6f4fc14972,39820ad987581c2a6aca298f7b8ed35623693b0488cf1e94fd6205be5ff8a0a0
G,14021,clustered,maximum,fixed_hash,20260912T090848017773Z-s14021-G-653379c2,9ce494b264cc886891dcca475ab649a02a3c1b9ede0a087b25a481904d274603,66b91d427f3d3cf867c3c0655a9c6a665d491b885a854ee10cfda26d72a0095b,10,10,1.0,2109.870238,1446.87023808966,7234.3511904483,103,515,98,30,20,0,True,,3.0105320000002393,210.9870238,b86e372656266059655318a0d78412a33495e50853782e3e3176ca6f4fc14972,e86b3d4e4543da61e3f17042eb6a3c2290c3fe1fbd13e3579c5762207110ac8d
Gplus,14020,clustered,minimum,minus_one,20260912T090847627919Z-s14020-G-e91861e2,9ce494b264cc886891dcca475ab649a02a3c1b9ede0a087b25a481904d274603,3344c0c3c0c9b70bc2c9ecb9b0b1665cf3cc67c01f47d150d7a2cee978833f87,16,16,1.0,2330.595176,1610.5951750490772,8052.975875245385,107,535,102,51,32,1,True,,3.9862243000097806,145.6621985,4547d041710703caa816fb405ee47d4100a6c72fd1627df221f8eb4a5aba6db4,39820ad987581c2a6aca298f7b8ed35623693b0488cf1e94fd6205be5ff8a0a0
Gplus,14016,boundary,maximum,minus_one,20260912T090842460243Z-s14016-G-e4dbf7f4,9ce494b264cc886891dcca475ab649a02a3c1b9ede0a087b25a481904d274603,3344c0c3c0c9b70bc2c9ecb9b0b1665cf3cc67c01f47d150d7a2cee978833f87,16,16,1.0,3767.056234,2836.0562336290072,14180.281168145037,144,720,122,57,32,3,True,,9.874106600007508,235.441014625,4547d041710703caa816fb405ee47d4100a6c72fd1627df221f8eb4a5aba6db4,2ab3cba5b3c7f92c0a17fbe45f439cc3e9dc7abd3286131b4c0a336fbfa7218c
Gplus,14021,clustered,maximum,fixed_hash,20260912T090849433336Z-s14021-G-c4e68cc4,9ce494b264cc886891dcca475ab649a02a3c1b9ede0a087b25a481904d274603,3344c0c3c0c9b70bc2c9ecb9b0b1665cf3cc67c01f47d150d7a2cee978833f87,10,10,1.0,2108.99343,1462.9934311388074,7314.9671556940375,100,500,96,30,20,0,True,,3.0565960999956587,210.899343,4547d041710703caa816fb405ee47d4100a6c72fd1627df221f8eb4a5aba6db4,e86b3d4e4543da61e3f17042eb6a3c2290c3fe1fbd13e3579c5762207110ac8d
G,14022,clustered,maximum,smooth,20260912T090849920352Z-s14022-G-ea988d09,9ce494b264cc886891dcca475ab649a02a3c1b9ede0a087b25a481904d274603,66b91d427f3d3cf867c3c0655a9c6a665d491b885a854ee10cfda26d72a0095b,16,16,1.0,1534.048815,1105.0488175833932,5525.244087916966,59,295,54,48,32,0,True,,2.761360699994839,95.8780509375,b86e372656266059655318a0d78412a33495e50853782e3e3176ca6f4fc14972,0a1b83d0cf2434122e832d27830d47896fc803afa6d4b4a49d9af4ad20c4c031
Gplus,14022,clustered,maximum,smooth,20260912T090850376701Z-s14022-G-3d6076ed,9ce494b264cc886891dcca475ab649a02a3c1b9ede0a087b25a481904d274603,3344c0c3c0c9b70bc2c9ecb9b0b1665cf3cc67c01f47d150d7a2cee978833f87,16,16,1.0,1498.699652,1080.6996504157555,5403.498252078778,56,280,55,51,32,1,True,,2.6569212000031257,93.66872825,4547d041710703caa816fb405ee47d4100a6c72fd1627df221f8eb4a5aba6db4,0a1b83d0cf2434122e832d27830d47896fc803afa6d4b4a49d9af4ad20c4c031
G,14023,clustered,maximum,plus_one,20260912T090850525156Z-s14023-G-827ecc3d,9ce494b264cc886891dcca475ab649a02a3c1b9ede0a087b25a481904d274603,66b91d427f3d3cf867c3c0655a9c6a665d491b885a854ee10cfda26d72a0095b,10,10,1.0,2192.750006,1529.75000643981,7648.75003219905,102,510,97,36,20,2,True,,2.579378499998711,219.27500060000003,b86e372656266059655318a0d78412a33495e50853782e3e3176ca6f4fc14972,8befb7137048492b6922beee5250f507c655853eb80b1b4b74407cbad6d006af
Gplus,14023,clustered,maximum,plus_one,20260912T090851024449Z-s14023-G-3e9dc1f0,9ce494b264cc886891dcca475ab649a02a3c1b9ede0a087b25a481904d274603,3344c0c3c0c9b70bc2c9ecb9b0b1665cf3cc67c01f47d150d7a2cee978833f87,10,10,1.0,2193.566091,1521.5660897851333,7607.830448925666,103,515,98,39,20,3,True,,2.715974599996116,219.35660910000001,4547d041710703caa816fb405ee47d4100a6c72fd1627df221f8eb4a5aba6db4,8befb7137048492b6922beee5250f507c655853eb80b1b4b74407cbad6d006af
G,14024,clustered,maximum,minus_one,20260912T090851155603Z-s14024-G-a1bb244c,9ce494b264cc886891dcca475ab649a02a3c1b9ede0a087b25a481904d274603,66b91d427f3d3cf867c3c0655a9c6a665d491b885a854ee10cfda26d72a0095b,16,16,1.0,1867.759067,1408.7590681864035,7043.795340932017,61,305,56,66,32,6,True,,3.1619303000043146,116.7349416875,b86e372656266059655318a0d78412a33495e50853782e3e3176ca6f4fc14972,c7587b130ab0669814facb3bfd2909fced63c95c0f51926ad2569745a75a0c69
Gplus,14024,clustered,maximum,minus_one,20260912T090851732933Z-s14024-G-81d84423,9ce494b264cc886891dcca475ab649a02a3c1b9ede0a087b25a481904d274603,3344c0c3c0c9b70bc2c9ecb9b0b1665cf3cc67c01f47d150d7a2cee978833f87,16,16,1.0,1669.350399,1185.35040041593,5926.75200207965,66,330,62,60,32,4,True,,3.267251800003578,104.3343999375,4547d041710703caa816fb405ee47d4100a6c72fd1627df221f8eb4a5aba6db4,c7587b130ab0669814facb3bfd2909fced63c95c0f51926ad2569745a75a0c69
