RF_detection_count,RF_detection_time,audit_errors,audit_pass,average_localization_clear_time_s_per_source,channel_switch_time,clear_count,clear_ratio,clear_time,client_error,completion_proved,error_mode,experimental_events,future_timed_fallbacks,jammer_count,kind,measured_program_wall_time_s,move_distance,move_time,optical_failed_count,optical_time,parameter_hash,reception,region_checks,run_id,scenario,scene_hash,seed,strategy_hash,total_time,variant,variant_hash
116,580,,True,279.9329371,109,10,1.0,20,,True,fixed_hash,0,0,10,Gplus,7.4769454000052065,10271.646845204932,2054.3293690409864,2,36,3344c0c3c0c9b70bc2c9ecb9b0b1665cf3cc67c01f47d150d7a2cee978833f87,mixed,37,20260912T111940590996Z-s21006-G-acb498f6,uniform,fb18e4673584306b7308140c6098a6dddad17579ea8524767e566d02e3984caa,21006,b379d90fb1e232938e67d0444cdd77a5ca987baa8ec1ec4e639524a0b7d6ab84,2799.329371,Gplus,8415bde2ec5df89a72a65911c0bfd8a7d5ad306da146f80eb7207232f2cd0f4f
114,570,,True,278.6520145,109,10,1.0,20,,True,fixed_hash,12,0,10,Optical,7.600372700006119,10257.600723207963,2051.5201446415927,2,36,3344c0c3c0c9b70bc2c9ecb9b0b1665cf3cc67c01f47d150d7a2cee978833f87,mixed,37,20260912T111943216942Z-s21006-G-92a2f30b,uniform,fb18e4673584306b7308140c6098a6dddad17579ea8524767e566d02e3984caa,21006,b379d90fb1e232938e67d0444cdd77a5ca987baa8ec1ec4e639524a0b7d6ab84,2786.520145,Optical,e92bab2eef9ee23dc696cd258d4c433a2e100841b6992ef174c34ae7b9756e4f
114,570,,True,278.6520145,109,10,1.0,20,,True,fixed_hash,12,0,10,Optical,7.687626399987494,10257.600723207963,2051.5201446415927,2,36,3344c0c3c0c9b70bc2c9ecb9b0b1665cf3cc67c01f47d150d7a2cee978833f87,mixed,37,20260912T111943977284Z-s21006-G-1509f188,uniform,fb18e4673584306b7308140c6098a6dddad17579ea8524767e566d02e3984caa,21006,b379d90fb1e232938e67d0444cdd77a5ca987baa8ec1ec4e639524a0b7d6ab84,2786.520145,OpticalRisk,3102d80144d068104997756caf0de4648c1aeadef8f0b77777bdbb218c7905fc
116,580,,True,279.9329371,109,10,1.0,20,,True,fixed_hash,0,0,10,Route,7.301593299998785,10271.646845204932,2054.3293690409864,2,36,3344c0c3c0c9b70bc2c9ecb9b0b1665cf3cc67c01f47d150d7a2cee978833f87,mixed,37,20260912T111945109510Z-s21006-G-46b613ad,uniform,fb18e4673584306b7308140c6098a6dddad17579ea8524767e566d02e3984caa,21006,b379d90fb1e232938e67d0444cdd77a5ca987baa8ec1ec4e639524a0b7d6ab84,2799.329371,RouteOrder,7c61cba261b6c1f96d32ec131e22c54c39d8a742f4c25f2bad4d4a349c554c54
116,580,,True,266.2704067,112,10,1.0,20,,True,fixed_hash,0,0,10,Gplus,4.807935199991334,9603.52034096403,1920.704068192806,0,30,3344c0c3c0c9b70bc2c9ecb9b0b1665cf3cc67c01f47d150d7a2cee978833f87,mixed,27,20260912T111948307301Z-s21007-G-93718c65,uniform,5848480a90db9d2aff805f0c74e28c80973319f0d81ccbd2329b558d40aeb4cd,21007,b379d90fb1e232938e67d0444cdd77a5ca987baa8ec1ec4e639524a0b7d6ab84,2662.704067,Gplus,8415bde2ec5df89a72a65911c0bfd8a7d5ad306da146f80eb7207232f2cd0f4f
114,570,,True,274.80391679999997,106,10,1.0,20,,True,fixed_hash,0,0,10,Future,8.095319499989273,10110.195844958005,2022.039168991601,0,30,3344c0c3c0c9b70bc2c9ecb9b0b1665cf3cc67c01f47d150d7a2cee978833f87,mixed,35,20260912T111945093078Z-s21006-G-b8470757,uniform,fb18e4673584306b7308140c6098a6dddad17579ea8524767e566d02e3984caa,21006,b379d90fb1e232938e67d0444cdd77a5ca987baa8ec1ec4e639524a0b7d6ab84,2748.039168,FutureRoute,0414f01a1f13ed58eb3a541389f2561a33062003b4baa3ce0e24792a7f2018b6
114,570,,True,274.80391679999997,106,10,1.0,20,,True,fixed_hash,0,0,10,Future,8.107791800008272,10110.195844958005,2022.039168991601,0,30,3344c0c3c0c9b70bc2c9ecb9b0b1665cf3cc67c01f47d150d7a2cee978833f87,mixed,35,20260912T111945084228Z-s21006-G-0009f392,uniform,fb18e4673584306b7308140c6098a6dddad17579ea8524767e566d02e3984caa,21006,b379d90fb1e232938e67d0444cdd77a5ca987baa8ec1ec4e639524a0b7d6ab84,2748.039168,FutureAnchor,647c7e229ba59fae93958e3e8163c8df0930392c823c3a96e07fa684dc474c39
116,580,,True,265.7157491,112,10,1.0,20,,True,fixed_hash,10,0,10,Optical,5.902416600001743,9575.787458230023,1915.1574916460045,0,30,3344c0c3c0c9b70bc2c9ecb9b0b1665cf3cc67c01f47d150d7a2cee978833f87,mixed,27,20260912T111951087640Z-s21007-G-3c413c39,uniform,5848480a90db9d2aff805f0c74e28c80973319f0d81ccbd2329b558d40aeb4cd,21007,b379d90fb1e232938e67d0444cdd77a5ca987baa8ec1ec4e639524a0b7d6ab84,2657.157491,Optical,e92bab2eef9ee23dc696cd258d4c433a2e100841b6992ef174c34ae7b9756e4f
116,580,,True,265.7157491,112,10,1.0,20,,True,fixed_hash,10,0,10,Optical,5.796539599992684,9575.787458230023,1915.1574916460045,0,30,3344c0c3c0c9b70bc2c9ecb9b0b1665cf3cc67c01f47d150d7a2cee978833f87,mixed,27,20260912T111951906418Z-s21007-G-f395ba4c,uniform,5848480a90db9d2aff805f0c74e28c80973319f0d81ccbd2329b558d40aeb4cd,21007,b379d90fb1e232938e67d0444cdd77a5ca987baa8ec1ec4e639524a0b7d6ab84,2657.157491,OpticalRisk,3102d80144d068104997756caf0de4648c1aeadef8f0b77777bdbb218c7905fc
117,585,,True,266.18844079999997,113,10,1.0,20,,True,fixed_hash,0,0,10,Future,5.665677099997993,9569.42203486364,1913.8844069727281,0,30,3344c0c3c0c9b70bc2c9ecb9b0b1665cf3cc67c01f47d150d7a2cee978833f87,mixed,28,20260912T111952696250Z-s21007-G-f97b4447,uniform,5848480a90db9d2aff805f0c74e28c80973319f0d81ccbd2329b558d40aeb4cd,21007,b379d90fb1e232938e67d0444cdd77a5ca987baa8ec1ec4e639524a0b7d6ab84,2661.884408,FutureAnchor,647c7e229ba59fae93958e3e8163c8df0930392c823c3a96e07fa684dc474c39
