RF_detection_count,RF_detection_time,audit_errors,audit_pass,average_localization_clear_time_s_per_source,channel_switch_time,clear_count,clear_ratio,clear_time,client_error,completion_proved,count,error_mode,experimental_events,future_timed_fallbacks,jammer_count,kind,measured_program_wall_time_s,move_distance,move_time,optical_failed_count,optical_time,parameter_hash,reception,region_checks,run_id,scenario,scene_hash,seed,strategy_hash,total_time,variant,variant_hash
77,385,,True,121.7311726875,73,16,1.0,32,,True,16,smooth,1,0,16,OpticalRoute,4.172362500001327,7048.493810839822,1409.6987621679643,0,48,3344c0c3c0c9b70bc2c9ecb9b0b1665cf3cc67c01f47d150d7a2cee978833f87,minimum,48,20260912T113244979538Z-s23018-G-1672f2e4,clustered,3f498f691e9b5f68ee832b3de5a9834ec6ec173b61d22d8ce94db2b566ca37a9,23018,879d22e75ae099462ddfb7a6032b9ee3e5701382fc5f71bca331d53902680f3a,1947.698763,OpticalRoute,1d06f25226f371818df5ddb816a3ba97ddb467814551275892eb521928098687
136,680,,True,225.0868275,117,16,1.0,32,,True,16,minus_one,0,0,16,Gplus,16.318556099999114,13546.946199087719,2709.389239817544,5,63,3344c0c3c0c9b70bc2c9ecb9b0b1665cf3cc67c01f47d150d7a2cee978833f87,maximum,68,20260912T113232797325Z-s23016-G-f31a3b37,boundary,b9e9570a8aaaa3ea2d7d8d3543a6aaf0bc48ba82c8cb49ef8bd09027e56a2bbd,23016,879d22e75ae099462ddfb7a6032b9ee3e5701382fc5f71bca331d53902680f3a,3601.38924,Gplus,8415bde2ec5df89a72a65911c0bfd8a7d5ad306da146f80eb7207232f2cd0f4f
73,365,,True,124.73083525,67,16,1.0,32,,True,16,smooth,0,0,16,Gplus,4.408983400004217,7418.46683003955,1483.6933660079098,0,48,3344c0c3c0c9b70bc2c9ecb9b0b1665cf3cc67c01f47d150d7a2cee978833f87,minimum,44,20260912T113244795905Z-s23018-G-ebea0bbb,clustered,3f498f691e9b5f68ee832b3de5a9834ec6ec173b61d22d8ce94db2b566ca37a9,23018,879d22e75ae099462ddfb7a6032b9ee3e5701382fc5f71bca331d53902680f3a,1995.693364,Gplus,8415bde2ec5df89a72a65911c0bfd8a7d5ad306da146f80eb7207232f2cd0f4f
132,660,,True,224.4544051875,115,16,1.0,32,,True,16,minus_one,21,0,16,OpticalRoute,15.15496699999494,13561.352409423802,2712.2704818847606,8,72,3344c0c3c0c9b70bc2c9ecb9b0b1665cf3cc67c01f47d150d7a2cee978833f87,maximum,71,20260912T113234916028Z-s23016-G-a9b7c0f4,boundary,b9e9570a8aaaa3ea2d7d8d3543a6aaf0bc48ba82c8cb49ef8bd09027e56a2bbd,23016,879d22e75ae099462ddfb7a6032b9ee3e5701382fc5f71bca331d53902680f3a,3591.270483,OpticalRoute,1d06f25226f371818df5ddb816a3ba97ddb467814551275892eb521928098687
119,595,,True,232.3459117,113,10,1.0,20,,True,10,plus_one,0,0,10,Gplus,3.7631784999975935,7782.295586481415,1556.459117296283,3,39,3344c0c3c0c9b70bc2c9ecb9b0b1665cf3cc67c01f47d150d7a2cee978833f87,minimum,31,20260912T113246860696Z-s23019-G-972d8a6b,clustered,e4331a4d4981edad65a526cd1e47e0be6d52bfaa4fc22c99b15f3278dd54b44e,23019,879d22e75ae099462ddfb7a6032b9ee3e5701382fc5f71bca331d53902680f3a,2323.459117,Gplus,8415bde2ec5df89a72a65911c0bfd8a7d5ad306da146f80eb7207232f2cd0f4f
116,580,,True,230.53389699999997,113,10,1.0,20,,True,10,plus_one,13,0,10,OpticalRoute,4.0792650999937905,7766.694848453128,1553.3389696906256,3,39,3344c0c3c0c9b70bc2c9ecb9b0b1665cf3cc67c01f47d150d7a2cee978833f87,minimum,31,20260912T113247460078Z-s23019-G-062fd056,clustered,e4331a4d4981edad65a526cd1e47e0be6d52bfaa4fc22c99b15f3278dd54b44e,23019,879d22e75ae099462ddfb7a6032b9ee3e5701382fc5f71bca331d53902680f3a,2305.33897,OpticalRoute,1d06f25226f371818df5ddb816a3ba97ddb467814551275892eb521928098687
85,425,,True,127.6352324375,81,16,1.0,32,,True,16,minus_one,8,0,16,OpticalRoute,3.042451899993466,7250.818604728267,1450.1637209456535,2,54,3344c0c3c0c9b70bc2c9ecb9b0b1665cf3cc67c01f47d150d7a2cee978833f87,minimum,44,20260912T113249331679Z-s23020-G-ff709e73,clustered,8259e0c17d717f845fb9d77cb56a04e4bb4e94774b0a138865345faaf9a41db9,23020,879d22e75ae099462ddfb7a6032b9ee3e5701382fc5f71bca331d53902680f3a,2042.163719,OpticalRoute,1d06f25226f371818df5ddb816a3ba97ddb467814551275892eb521928098687
88,440,,True,129.2938105625,84,16,1.0,32,,True,16,minus_one,0,0,16,Gplus,3.172263699991163,7278.5048407363465,1455.7009681472694,3,57,3344c0c3c0c9b70bc2c9ecb9b0b1665cf3cc67c01f47d150d7a2cee978833f87,minimum,45,20260912T113249325909Z-s23020-G-7f3ce712,clustered,8259e0c17d717f845fb9d77cb56a04e4bb4e94774b0a138865345faaf9a41db9,23020,879d22e75ae099462ddfb7a6032b9ee3e5701382fc5f71bca331d53902680f3a,2068.700969,Gplus,8415bde2ec5df89a72a65911c0bfd8a7d5ad306da146f80eb7207232f2cd0f4f
107,535,,True,215.95827100000002,104,10,1.0,20,,True,10,fixed_hash,0,0,10,Gplus,3.5257245999964653,7352.9135495162045,1470.5827099032408,0,30,3344c0c3c0c9b70bc2c9ecb9b0b1665cf3cc67c01f47d150d7a2cee978833f87,maximum,37,20260912T113249382552Z-s23021-G-003b1f32,clustered,648355a426610292816bd019ea81b51bdcec09f7566523f199ad82dee41d6daf,23021,879d22e75ae099462ddfb7a6032b9ee3e5701382fc5f71bca331d53902680f3a,2159.58271,Gplus,8415bde2ec5df89a72a65911c0bfd8a7d5ad306da146f80eb7207232f2cd0f4f
57,285,,True,101.07921525,55,16,1.0,32,,True,16,smooth,0,0,16,Gplus,2.673339800006943,5986.3372252384215,1197.2674450476843,0,48,3344c0c3c0c9b70bc2c9ecb9b0b1665cf3cc67c01f47d150d7a2cee978833f87,maximum,55,20260912T113250838771Z-s23022-G-b445cff8,clustered,d44796a2feefeed108cc20a811e6337f492c3ad83b41ea98769b9d8a9893cfc9,23022,879d22e75ae099462ddfb7a6032b9ee3e5701382fc5f71bca331d53902680f3a,1617.267444,Gplus,8415bde2ec5df89a72a65911c0bfd8a7d5ad306da146f80eb7207232f2cd0f4f
